to_node   from_node   capacity          prob_failure
	9 		 2	 2000000		.01
	9 		 17	 2000000		.01
	8 		 12	 2000000		.01
	8 		 4	 2000000		.01
	3 		 10	 2000000		.01
	3 		 2	 2000000		.01
	2 		 9	 2000000		.01
	2 		 3	 2000000		.01
	2 		 4	 2000000		.01
	1 		 6	 2000000		.01
	1 		 17	 2000000		.01
	1 		 5	 2000000		.01
	10 		 7	 2000000		.01
	10 		 3	 2000000		.01
	7 		 10	 2000000		.01
	7 		 6	 2000000		.01
	6 		 1	 2000000		.01
	6 		 7	 2000000		.01
	6 		 4	 2000000		.01
	6 		 16	 2000000		.01
	5 		 1	 2000000		.01
	5 		 4	 2000000		.01
	5 		 15	 2000000		.01
	4 		 2	 2000000		.01
	4 		 8	 2000000		.01
	4 		 6	 2000000		.01
	4 		 5	 2000000		.01
	13 		 14	 2000000		.01
	13 		 12	 2000000		.01
	12 		 13	 2000000		.01
	12 		 8	 2000000		.01
	12 		 11	 2000000		.01
	11 		 12	 2000000		.01
	11 		 17	 2000000		.01
	17 		 1	 2000000		.01
	17 		 9	 2000000		.01
	17 		 14	 2000000		.01
	17 		 11	 2000000		.01
	16 		 6	 2000000		.01
	16 		 15	 2000000		.01
	15 		 14	 2000000		.01
	15 		 16	 2000000		.01
	15 		 5	 2000000		.01
	14 		 13	 2000000		.01
	14 		 17	 2000000		.01
	14 		 15	 2000000		.01

